dataset,variant,n,accuracy,precision,recall,f1,asr,latency_ms,roc_auc,pr_auc,hitl_rate
D1_test,full_sentra_guard,35315,0.9094435792156308,0.5530927835051547,0.31521739130434784,0.40157185628742514,0.6847826086956522,18.719929214809536,0.7255793102371494,0.4012857378725558,0.025031856151776867
D1_test,classifier_zero_shot,35315,0.9044032280900467,0.5063176895306859,0.3296122209165687,0.399288256227758,0.6703877790834313,17.378899103808575,0.6747589533772709,0.38932660629716265,0.016423616027183917
D1_test,classifier_retrieval,35315,0.9085940818349143,0.546267087276551,0.30522914218566394,0.3916321145872597,0.6947708578143361,2.376801903893515,0.8258422017302014,0.4259402803670511,0.012346028599745151
D1_test,classifier_only,35315,0.9042899617726179,0.5055813953488372,0.3193301997649824,0.39142960028808066,0.6806698002350177,1.0357717928925543,0.8203772833454502,0.4589405872232246,0.008834772759450658
D1_test,retrieval_zero_shot,35315,0.8415404219170324,0.2564444444444444,0.3390129259694477,0.29200404858299595,0.6609870740305523,17.684157421916982,0.6264498544184709,0.22303374678775448,0.28129689933456037
D1_test,retrieval_only,35315,0.8947755911085941,0.37192118226600984,0.13307873090481787,0.1960190393768931,0.8669212690951822,1.3410301110009608,0.6989103406024859,0.2269426489634848,0.00178394449950446
D1_test,zero_shot_only,35315,0.46399546934730285,0.10239205040208985,0.5872502937720329,0.1743795524926942,0.4127497062279671,16.343127310916024,0.5333571464422147,0.11837781386203217,0.1354665156449101
D2_heldout,retrieval_zero_shot,10000,0.6865,0.8192399863060595,0.4786,0.604216639313218,0.5214,17.858260258600062,0.71114812,0.7482686107991094,0.3001
D2_heldout,zero_shot_only,10000,0.5612,0.5505785123966942,0.6662,0.60289592760181,0.3338,16.522549976200025,0.5515825599999999,0.5572432876937787,0.1
D2_heldout,retrieval_only,10000,0.618,0.9166666666666666,0.2596,0.40461346633416456,0.7404,1.3357102824000324,0.8149076000000002,0.7988732352340102,0.0007
D2_heldout,classifier_zero_shot,10000,0.5405,0.7816411682892906,0.1124,0.19653785626857842,0.8876,17.675873884500106,0.64221236,0.6828215215508953,0.0326
D2_heldout,full_sentra_guard,10000,0.5427,0.8107714701601164,0.1114,0.19588535255846667,0.8886,19.011584166900143,0.72663566,0.7451271078367439,0.0413
D2_heldout,classifier_retrieval,10000,0.5386,0.8083067092651757,0.1012,0.17987913259864913,0.8988,2.489034190700113,0.8071771600000002,0.7776924086011109,0.0148
D2_heldout,classifier_only,10000,0.5301,0.7487603305785124,0.0906,0.1616413916146298,0.9094,1.1533239083000808,0.69292092,0.691729744726715,0.0035
